,libro,capitulo,verso,texto
0,Génesis,1,1,"1 El relato de la creación En el principio, Dios creó los cielos y la tierra."
1,Génesis,1,2,"2 La tierra no tenía forma y estaba vacía, y la oscuridad cubría las aguas profundas; y el Espíritu de Dios se movía en el aire sobre la superficie de las aguas."
2,Génesis,1,3,3 Entonces Dios dijo: «Que haya luz»; y hubo luz.
3,Génesis,1,4,4 Y Dios vio que la luz era buena. Luego separó la luz de la oscuridad.
4,Génesis,1,5,"5 Dios llamó a la luz «día» y a la oscuridad «noche». Y pasó la tarde y llegó la mañana, así se cumplió el primer día."
5,Génesis,1,6,"6 Entonces Dios dijo: «Que haya un espacio entre las aguas, para separar las aguas de los cielos de las aguas de la tierra»;"
6,Génesis,1,7,7 y eso fue lo que sucedió. Dios formó ese espacio para separar las aguas de la tierra de las aguas de los cielos
7,Génesis,1,8,"8 y Dios llamó al espacio «cielo». Y pasó la tarde y llegó la mañana, así se cumplió el segundo día."
8,Génesis,1,9,"9 Entonces Dios dijo: «Que las aguas debajo del cielo se junten en un solo lugar, para que aparezca la tierra seca»; y eso fue lo que sucedió."
9,Génesis,1,10,10 Dios llamó a lo seco «tierra» y a las aguas «mares». Y Dios vio que esto era bueno.
10,Génesis,1,11,"11 Después Dios dijo: «Que de la tierra brote vegetación: toda clase de plantas con semillas y árboles que den frutos con semillas. Estas semillas producirán, a su vez, las mismas clases de plantas y árboles de los que provinieron»; y eso fue lo que sucedió."
11,Génesis,1,12,12 La tierra produjo vegetación: toda clase de plantas con semillas y árboles que dan frutos con semillas. Las semillas produjeron plantas y árboles de la misma clase. Y Dios vio que esto era bueno.
12,Génesis,1,13,"13 Y pasó la tarde y llegó la mañana, así se cumplió el tercer día."
13,Génesis,1,14,"14 Entonces Dios dijo: «Que aparezcan luces en el cielo para separar el día de la noche; que sean señales para que marquen las estaciones, los días y los años."
14,Génesis,1,15,15 Que esas luces en el cielo brillen sobre la tierra»; y eso fue lo que sucedió.
15,Génesis,1,16,"16 Dios hizo dos grandes luces: la más grande para que gobernara el día, y la más pequeña para que gobernara la noche. También hizo las estrellas."
16,Génesis,1,17,"17 Dios puso esas luces en el cielo para iluminar la tierra,"
17,Génesis,1,18,"18 para que gobernaran el día y la noche, y para separar la luz de la oscuridad. Y Dios vio que esto era bueno."
18,Génesis,1,19,"19 Y pasó la tarde y llegó la mañana, así se cumplió el cuarto día."
19,Génesis,1,20,20 Entonces Dios dijo: «Que las aguas se colmen de peces y de otras formas de vida. Que los cielos se llenen de aves de toda clase».
20,Génesis,1,21,"21 Así que Dios creó grandes criaturas marinas y todos los seres vivientes que se mueven y se agitan en el agua y aves de todo tipo, cada uno produciendo crías de la misma especie. Y Dios vio que esto era bueno."
21,Génesis,1,22,22 Entonces Dios los bendijo con las siguientes palabras: «Sean fructíferos y multiplíquense. Que los peces llenen los mares y las aves se multipliquen sobre la tierra».
22,Génesis,1,23,"23 Y pasó la tarde y llegó la mañana, así se cumplió el quinto día."
23,Génesis,1,24,"24 Entonces Dios dijo: «Que la tierra produzca toda clase de animales, que cada uno produzca crías de la misma especie: animales domésticos, animales pequeños que corran por el suelo y animales salvajes»; y eso fue lo que sucedió."
24,Génesis,1,25,"25 Dios hizo toda clase de animales salvajes, animales domésticos y animales pequeños; cada uno con la capacidad de producir crías de la misma especie. Y Dios vio que esto era bueno."
25,Génesis,1,26,"26 Entonces Dios dijo: «Hagamos a los seres humanos a nuestra imagen, para que sean como nosotros. Ellos reinarán sobre los peces del mar, las aves del cielo, los animales domésticos, todos los animales salvajes de la tierra y los animales pequeños que corren por el suelo»."
26,Génesis,1,27,27 Así que Dios creó a los seres humanos a su propia imagen. A imagen de Dios los creó; hombre y mujer los creó.
27,Génesis,1,28,"28 Luego Dios los bendijo con las siguientes palabras: «Sean fructíferos y multiplíquense. Llenen la tierra y gobiernen sobre ella. Reinen sobre los peces del mar, las aves del cielo y todos los animales que corren por el suelo»."
28,Génesis,1,29,29 Entonces Dios dijo: «¡Miren! Les he dado todas las plantas con semilla que hay sobre la tierra y todos los árboles frutales para que les sirvan de alimento.
29,Génesis,1,30,"30 Y he dado toda planta verde como alimento para todos los animales salvajes, para las aves del cielo y para los animales pequeños que corren por el suelo, es decir, para todo lo que tiene vida»; y eso fue lo que sucedió."
30,Génesis,1,31,"31 Entonces Dios miró todo lo que había hecho, ¡y vio que era muy bueno! Y pasó la tarde y llegó la mañana, así se cumplió el sexto día."
31,Génesis,2,1,"1 Así quedó terminada la creación de los cielos y de la tierra, y de todo lo que hay en ellos."
32,Génesis,2,2,"2 Cuando llegó el séptimo día, Dios ya había terminado su obra de creación, y descansó de toda su labor."
33,Génesis,2,3,"3 Dios bendijo el séptimo día y lo declaró santo, porque ese fue el día en que descansó de toda su obra de creación."
34,Génesis,2,4,"4 Este es el relato de la creación de los cielos y la tierra. El hombre y la mujer en el Edén Cuando el Señor Dios hizo la tierra y los cielos,"
35,Génesis,2,5,"5 no crecían en ella plantas salvajes ni grano porque el Señor Dios aún no había enviado lluvia para regar la tierra, ni había personas que la cultivaran."
36,Génesis,2,6,"6 En cambio, del suelo brotaban manantiales que regaban toda la tierra."
